airpressure,rain,rdesc,winddirect,windpower,temperature,humidity,windspeed,rcode,feelst,updatetime,phenomena,Date,Hour
9999,0,Success,9999,微风,17.1,80,,200,16.6,2022/11/1 00:10,多云,20221101,0
9999,0,Success,9999,微风,16.7,83,,200,16.3,2022/11/1 01:10,多云,20221101,1
9999,0,Success,9999,微风,16.3,85,,200,15.8,2022/11/1 02:10,多云,20221101,2
9999,0,Success,9999,微风,16.1,84,,200,15.6,2022/11/1 03:10,多云,20221101,3
9999,0,Success,9999,微风,16.2,84,,200,15.7,2022/11/1 04:10,多云,20221101,4
9999,0,Success,9999,微风,16,83,,200,15.5,2022/11/1 05:10,多云,20221101,5
9999,0,Success,9999,微风,15.7,84,,200,15.2,2022/11/1 06:10,多云,20221101,6
9999,0,Success,9999,微风,15.8,84,,200,15.2,2022/11/1 07:10,多云,20221101,7
9999,0,Success,东南风,微风,17.5,73,,200,16.6,2022/11/1 08:10,多云,20221101,8
9999,0,Success,东北风,微风,19.1,63,,200,18,2022/11/1 09:10,多云,20221101,9
9999,0,Success,东风,微风,20.5,53,,200,18.9,2022/11/1 10:10,多云,20221101,10
9999,0,Success,东北风,微风,21.6,54,,200,20.8,2022/11/1 11:10,晴,20221101,11
9999,0,Success,西南风,微风,20.7,56,,200,19.9,2022/11/1 12:10,晴,20221101,12
9999,0,Success,东南风,微风,20.5,57,,200,19.7,2022/11/1 13:10,晴,20221101,13
9999,0,Success,东北风,微风,20.6,60,,200,19.6,2022/11/1 14:10,晴,20221101,14
9999,0,Success,东南风,微风,20.2,61,,200,19.5,2022/11/1 15:10,晴,20221101,15
9999,0,Success,东北风,微风,19.8,64,,200,18.9,2022/11/1 16:10,晴,20221101,16
9999,0,Success,东南风,微风,18.7,62,,200,17.8,2022/11/1 17:50,晴,20221101,17
Empty result,202,,,,,,,,,,,20221101,18
9999,0,Success,东南风,微风,18.1,72,,200,17.2,2022/11/1 19:10,晴,20221101,19
9999,0,Success,9999,微风,17.6,78,,200,17.2,2022/11/1 20:10,晴,20221101,20
9999,9999,Success,东北风,微风,17.1,82,,200,16.4,2022/11/1 21:10,晴,20221101,21
9999,0,Success,9999,微风,16.8,86,,200,16.4,2022/11/1 22:10,晴,20221101,22
9999,0,Success,东北风,微风,16.7,89,,200,16.1,2022/11/1 23:10,晴,20221101,23
9999,0,Success,9999,微风,16.6,88,,200,16.2,2022/11/2 00:10,晴,20221102,0
9999,0,Success,9999,微风,16.3,87,,200,15.8,2022/11/2 01:10,晴,20221102,1
9999,0,Success,9999,微风,16,86,,200,15.5,2022/11/2 02:10,多云,20221102,2
9999,0,Success,9999,微风,15.9,84,,200,15.3,2022/11/2 03:10,多云,20221102,3
9999,0,Success,9999,微风,15.7,82,,200,15,2022/11/2 04:10,多云,20221102,4
9999,0,Success,9999,微风,15.4,84,,200,14.8,2022/11/2 05:10,多云,20221102,5
9999,0,Success,9999,微风,15.2,85,,200,14.7,2022/11/2 06:10,多云,20221102,6
9999,0,Success,东南风,微风,15.3,85,,200,14.5,2022/11/2 07:10,多云,20221102,7
9999,0,Success,东北风,微风,16.9,70,,200,15.8,2022/11/2 08:10,多云,20221102,8
9999,0,Success,东南风,微风,17.9,59,,200,16.7,2022/11/2 09:10,多云,20221102,9
9999,0,Success,东北风,微风,19,55,,200,17.8,2022/11/2 10:10,多云,20221102,10
9999,0,Success,西北风,微风,19.9,50,,200,18.9,2022/11/2 11:10,晴,20221102,11
