Date,Sunrise (CST),Sunset (CST),set,rise
2022/11/1,2022/11/1 06:08,2022/11/1 17:07,17,6
2022/11/2,2022/11/2 06:08,2022/11/2 17:06,17,6
2022/11/3,2022/11/3 06:09,2022/11/3 17:05,17,6
2022/11/4,2022/11/4 06:10,2022/11/4 17:04,17,6
2022/11/5,2022/11/5 06:11,2022/11/5 17:03,17,6
2022/11/6,2022/11/6 06:12,2022/11/6 17:03,17,6
2022/11/7,2022/11/7 06:13,2022/11/7 17:02,17,6
2022/11/8,2022/11/8 06:13,2022/11/8 17:01,17,6
2022/11/9,2022/11/9 06:14,2022/11/9 17:01,17,6
2022/11/10,2022/11/10 06:15,2022/11/10 17:00,17,6
2022/11/11,2022/11/11 06:16,2022/11/11 16:59,17,6
2022/11/12,2022/11/12 06:17,2022/11/12 16:59,17,6
2022/11/13,2022/11/13 06:18,2022/11/13 16:58,17,6
2022/11/14,2022/11/14 06:18,2022/11/14 16:58,17,6
2022/11/15,2022/11/15 06:19,2022/11/15 16:57,17,6
2022/11/16,2022/11/16 06:20,2022/11/16 16:56,17,6
2022/11/17,2022/11/17 06:21,2022/11/17 16:56,17,6
2022/11/18,2022/11/18 06:22,2022/11/18 16:56,17,6
2022/11/19,2022/11/19 06:23,2022/11/19 16:55,17,6
2022/11/20,2022/11/20 06:24,2022/11/20 16:55,17,6
2022/11/21,2022/11/21 06:24,2022/11/21 16:54,17,6
2022/11/22,2022/11/22 06:25,2022/11/22 16:54,17,6
2022/11/23,2022/11/23 06:26,2022/11/23 16:54,17,6
2022/11/24,2022/11/24 06:27,2022/11/24 16:53,17,6
2022/11/25,2022/11/25 06:28,2022/11/25 16:53,17,6
2022/11/26,2022/11/26 06:29,2022/11/26 16:53,17,6
2022/11/27,2022/11/27 06:30,2022/11/27 16:53,17,7
2022/11/28,2022/11/28 06:30,2022/11/28 16:52,17,7
2022/11/29,2022/11/29 06:31,2022/11/29 16:52,17,7
2022/11/30,2022/11/30 06:32,2022/11/30 16:52,17,7
2022/12/1,2022/12/1 06:33,2022/12/1 16:52,17,7
2022/12/2,2022/12/2 06:34,2022/12/2 16:52,17,7
2022/12/3,2022/12/3 06:34,2022/12/3 16:52,17,7
2022/12/4,2022/12/4 06:35,2022/12/4 16:52,17,7
2022/12/5,2022/12/5 06:36,2022/12/5 16:52,17,7
2022/12/6,2022/12/6 06:37,2022/12/6 16:52,17,7
2022/12/7,2022/12/7 06:38,2022/12/7 16:52,17,7
2022/12/8,2022/12/8 06:38,2022/12/8 16:52,17,7
2022/12/9,2022/12/9 06:39,2022/12/9 16:52,17,7
2022/12/10,2022/12/10 06:40,2022/12/10 16:53,17,7
2022/12/11,2022/12/11 06:41,2022/12/11 16:53,17,7
2022/12/12,2022/12/12 06:41,2022/12/12 16:53,17,7
2022/12/13,2022/12/13 06:42,2022/12/13 16:53,17,7
2022/12/14,2022/12/14 06:43,2022/12/14 16:54,17,7
2022/12/15,2022/12/15 06:43,2022/12/15 16:54,17,7
2022/12/16,2022/12/16 06:44,2022/12/16 16:54,17,7
2022/12/17,2022/12/17 06:44,2022/12/17 16:55,17,7
2022/12/18,2022/12/18 06:45,2022/12/18 16:55,17,7
2022/12/19,2022/12/19 06:46,2022/12/19 16:55,17,7
2022/12/20,2022/12/20 06:46,2022/12/20 16:56,17,7
2022/12/21,2022/12/21 06:47,2022/12/21 16:56,17,7
2022/12/22,2022/12/22 06:47,2022/12/22 16:57,17,7
2022/12/23,2022/12/23 06:48,2022/12/23 16:57,17,7
2022/12/24,2022/12/24 06:48,2022/12/24 16:58,17,7
2022/12/25,2022/12/25 06:49,2022/12/25 16:58,17,7
2022/12/26,2022/12/26 06:49,2022/12/26 16:59,17,7
2022/12/27,2022/12/27 06:49,2022/12/27 17:00,17,7
2022/12/28,2022/12/28 06:50,2022/12/28 17:00,17,7
2022/12/29,2022/12/29 06:50,2022/12/29 17:01,17,7
2022/12/30,2022/12/30 06:50,2022/12/30 17:02,17,7
2022/12/31,2022/12/31 06:51,2022/12/31 17:02,17,7
2023/1/1,2023/1/1 06:51,2023/1/1 17:03,17,7
2023/1/2,2023/1/2 06:51,2023/1/2 17:04,17,7
2023/1/3,2023/1/3 06:51,2023/1/3 17:04,17,7
2023/1/4,2023/1/4 06:51,2023/1/4 17:05,17,7
2023/1/5,2023/1/5 06:52,2023/1/5 17:06,17,7
2023/1/6,2023/1/6 06:52,2023/1/6 17:07,17,7
2023/1/7,2023/1/7 06:52,2023/1/7 17:07,17,7
2023/1/8,2023/1/8 06:52,2023/1/8 17:08,17,7
2023/1/9,2023/1/9 06:52,2023/1/9 17:09,17,7
2023/1/10,2023/1/10 06:52,2023/1/10 17:10,17,7
2023/1/11,2023/1/11 06:52,2023/1/11 17:11,17,7
2023/1/12,2023/1/12 06:52,2023/1/12 17:12,17,7
2023/1/13,2023/1/13 06:52,2023/1/13 17:12,17,7
2023/1/14,2023/1/14 06:52,2023/1/14 17:13,17,7
2023/1/15,2023/1/15 06:51,2023/1/15 17:14,17,7
2023/1/16,2023/1/16 06:51,2023/1/16 17:15,17,7
2023/1/17,2023/1/17 06:51,2023/1/17 17:16,17,7
2023/1/18,2023/1/18 06:51,2023/1/18 17:17,17,7
2023/1/19,2023/1/19 06:51,2023/1/19 17:18,17,7
2023/1/20,2023/1/20 06:50,2023/1/20 17:19,17,7
2023/1/21,2023/1/21 06:50,2023/1/21 17:19,17,7
2023/1/22,2023/1/22 06:50,2023/1/22 17:20,17,7
2023/1/23,2023/1/23 06:49,2023/1/23 17:21,17,7
2023/1/24,2023/1/24 06:49,2023/1/24 17:22,17,7
2023/1/25,2023/1/25 06:49,2023/1/25 17:23,17,7
2023/1/26,2023/1/26 06:48,2023/1/26 17:24,17,7
2023/1/27,2023/1/27 06:48,2023/1/27 17:25,17,7
2023/1/28,2023/1/28 06:47,2023/1/28 17:26,17,7
